nome_instancia,execucao,num_tarefas,num_maquinas,matriz_tempos,solucao,makespan,tempo,algoritmo
reC21,1,30,10,"[[12, 89, 69, 94, 22, 31, 22, 95, 36, 38], [55, 2, 94, 19, 43, 74, 72, 10, 99, 16], [34, 78, 27, 40, 21, 17, 15, 62, 96, 63], [100, 14, 23, 42, 52, 18, 29, 70, 21, 47], [41, 92, 88, 52, 99, 41, 68, 22, 57, 66], [24, 62, 19, 35, 24, 49, 100, 65, 13, 41], [29, 34, 38, 72, 29, 83, 44, 91, 65, 100], [89, 62, 32, 54, 93, 59, 8, 24, 86, 66], [23, 34, 89, 66, 10, 48, 27, 11, 94, 45], [81, 57, 35, 78, 23, 66, 1, 3, 77, 14], [72, 47, 75, 27, 66, 64, 30, 49, 42, 7], [10, 15, 26, 12, 98, 12, 53, 81, 46, 3], [47, 54, 58, 73, 44, 87, 87, 98, 34, 15], [13, 27, 29, 85, 29, 64, 62, 62, 79, 74], [49, 57, 24, 44, 18, 97, 59, 75, 17, 22], [50, 11, 93, 53, 52, 13, 51, 76, 87, 95], [99, 87, 85, 9, 87, 98, 34, 22, 66, 11], [7, 8, 90, 95, 29, 79, 70, 79, 6, 58], [48, 100, 74, 60, 74, 19, 21, 6, 77, 84], [96, 86, 19, 15, 45, 1, 90, 49, 98, 80], [68, 73, 55, 13, 28, 16, 57, 20, 76, 71], [53, 38, 4, 43, 11, 49, 12, 91, 47, 3], [57, 13, 12, 12, 21, 68, 2, 80, 9, 28], [37, 79, 92, 35, 63, 13, 58, 36, 65, 94], [39, 49, 57, 23, 53, 80, 42, 29, 52, 33], [36, 54, 59, 69, 62, 12, 77, 37, 87, 47], [63, 35, 26, 38, 47, 82, 89, 34, 1, 93], [60, 28, 1, 51, 94, 86, 42, 75, 76, 77], [2, 51, 79, 74, 51, 28, 78, 87, 81, 35], [45, 94, 42, 9, 70, 4, 52, 54, 16, 27]]","[11, 13, 24, 1, 20, 26, 8, 22, 2, 5, 27, 25, 6, 9, 17, 23, 18, 0, 19, 28, 14, 7, 21, 15, 12, 4, 16, 3, 10, 29]",2131.0,0.14284524499998952,Genético-p10-g10-c20.0%-m10.0%
reC21,2,30,10,"[[12, 89, 69, 94, 22, 31, 22, 95, 36, 38], [55, 2, 94, 19, 43, 74, 72, 10, 99, 16], [34, 78, 27, 40, 21, 17, 15, 62, 96, 63], [100, 14, 23, 42, 52, 18, 29, 70, 21, 47], [41, 92, 88, 52, 99, 41, 68, 22, 57, 66], [24, 62, 19, 35, 24, 49, 100, 65, 13, 41], [29, 34, 38, 72, 29, 83, 44, 91, 65, 100], [89, 62, 32, 54, 93, 59, 8, 24, 86, 66], [23, 34, 89, 66, 10, 48, 27, 11, 94, 45], [81, 57, 35, 78, 23, 66, 1, 3, 77, 14], [72, 47, 75, 27, 66, 64, 30, 49, 42, 7], [10, 15, 26, 12, 98, 12, 53, 81, 46, 3], [47, 54, 58, 73, 44, 87, 87, 98, 34, 15], [13, 27, 29, 85, 29, 64, 62, 62, 79, 74], [49, 57, 24, 44, 18, 97, 59, 75, 17, 22], [50, 11, 93, 53, 52, 13, 51, 76, 87, 95], [99, 87, 85, 9, 87, 98, 34, 22, 66, 11], [7, 8, 90, 95, 29, 79, 70, 79, 6, 58], [48, 100, 74, 60, 74, 19, 21, 6, 77, 84], [96, 86, 19, 15, 45, 1, 90, 49, 98, 80], [68, 73, 55, 13, 28, 16, 57, 20, 76, 71], [53, 38, 4, 43, 11, 49, 12, 91, 47, 3], [57, 13, 12, 12, 21, 68, 2, 80, 9, 28], [37, 79, 92, 35, 63, 13, 58, 36, 65, 94], [39, 49, 57, 23, 53, 80, 42, 29, 52, 33], [36, 54, 59, 69, 62, 12, 77, 37, 87, 47], [63, 35, 26, 38, 47, 82, 89, 34, 1, 93], [60, 28, 1, 51, 94, 86, 42, 75, 76, 77], [2, 51, 79, 74, 51, 28, 78, 87, 81, 35], [45, 94, 42, 9, 70, 4, 52, 54, 16, 27]]","[11, 13, 24, 28, 1, 20, 26, 8, 22, 2, 5, 27, 25, 6, 3, 9, 17, 23, 18, 0, 19, 14, 7, 21, 15, 12, 4, 16, 10, 29]",2121.0,0.14317240700000866,Genético-p10-g10-c20.0%-m10.0%
reC21,3,30,10,"[[12, 89, 69, 94, 22, 31, 22, 95, 36, 38], [55, 2, 94, 19, 43, 74, 72, 10, 99, 16], [34, 78, 27, 40, 21, 17, 15, 62, 96, 63], [100, 14, 23, 42, 52, 18, 29, 70, 21, 47], [41, 92, 88, 52, 99, 41, 68, 22, 57, 66], [24, 62, 19, 35, 24, 49, 100, 65, 13, 41], [29, 34, 38, 72, 29, 83, 44, 91, 65, 100], [89, 62, 32, 54, 93, 59, 8, 24, 86, 66], [23, 34, 89, 66, 10, 48, 27, 11, 94, 45], [81, 57, 35, 78, 23, 66, 1, 3, 77, 14], [72, 47, 75, 27, 66, 64, 30, 49, 42, 7], [10, 15, 26, 12, 98, 12, 53, 81, 46, 3], [47, 54, 58, 73, 44, 87, 87, 98, 34, 15], [13, 27, 29, 85, 29, 64, 62, 62, 79, 74], [49, 57, 24, 44, 18, 97, 59, 75, 17, 22], [50, 11, 93, 53, 52, 13, 51, 76, 87, 95], [99, 87, 85, 9, 87, 98, 34, 22, 66, 11], [7, 8, 90, 95, 29, 79, 70, 79, 6, 58], [48, 100, 74, 60, 74, 19, 21, 6, 77, 84], [96, 86, 19, 15, 45, 1, 90, 49, 98, 80], [68, 73, 55, 13, 28, 16, 57, 20, 76, 71], [53, 38, 4, 43, 11, 49, 12, 91, 47, 3], [57, 13, 12, 12, 21, 68, 2, 80, 9, 28], [37, 79, 92, 35, 63, 13, 58, 36, 65, 94], [39, 49, 57, 23, 53, 80, 42, 29, 52, 33], [36, 54, 59, 69, 62, 12, 77, 37, 87, 47], [63, 35, 26, 38, 47, 82, 89, 34, 1, 93], [60, 28, 1, 51, 94, 86, 42, 75, 76, 77], [2, 51, 79, 74, 51, 28, 78, 87, 81, 35], [45, 94, 42, 9, 70, 4, 52, 54, 16, 27]]","[11, 13, 24, 1, 20, 26, 8, 22, 2, 5, 27, 25, 6, 9, 17, 23, 18, 0, 19, 28, 14, 7, 21, 15, 12, 4, 16, 3, 10, 29]",2131.0,0.14304067200001214,Genético-p10-g10-c20.0%-m10.0%
reC21,4,30,10,"[[12, 89, 69, 94, 22, 31, 22, 95, 36, 38], [55, 2, 94, 19, 43, 74, 72, 10, 99, 16], [34, 78, 27, 40, 21, 17, 15, 62, 96, 63], [100, 14, 23, 42, 52, 18, 29, 70, 21, 47], [41, 92, 88, 52, 99, 41, 68, 22, 57, 66], [24, 62, 19, 35, 24, 49, 100, 65, 13, 41], [29, 34, 38, 72, 29, 83, 44, 91, 65, 100], [89, 62, 32, 54, 93, 59, 8, 24, 86, 66], [23, 34, 89, 66, 10, 48, 27, 11, 94, 45], [81, 57, 35, 78, 23, 66, 1, 3, 77, 14], [72, 47, 75, 27, 66, 64, 30, 49, 42, 7], [10, 15, 26, 12, 98, 12, 53, 81, 46, 3], [47, 54, 58, 73, 44, 87, 87, 98, 34, 15], [13, 27, 29, 85, 29, 64, 62, 62, 79, 74], [49, 57, 24, 44, 18, 97, 59, 75, 17, 22], [50, 11, 93, 53, 52, 13, 51, 76, 87, 95], [99, 87, 85, 9, 87, 98, 34, 22, 66, 11], [7, 8, 90, 95, 29, 79, 70, 79, 6, 58], [48, 100, 74, 60, 74, 19, 21, 6, 77, 84], [96, 86, 19, 15, 45, 1, 90, 49, 98, 80], [68, 73, 55, 13, 28, 16, 57, 20, 76, 71], [53, 38, 4, 43, 11, 49, 12, 91, 47, 3], [57, 13, 12, 12, 21, 68, 2, 80, 9, 28], [37, 79, 92, 35, 63, 13, 58, 36, 65, 94], [39, 49, 57, 23, 53, 80, 42, 29, 52, 33], [36, 54, 59, 69, 62, 12, 77, 37, 87, 47], [63, 35, 26, 38, 47, 82, 89, 34, 1, 93], [60, 28, 1, 51, 94, 86, 42, 75, 76, 77], [2, 51, 79, 74, 51, 28, 78, 87, 81, 35], [45, 94, 42, 9, 70, 4, 52, 54, 16, 27]]","[11, 13, 24, 1, 20, 26, 8, 22, 2, 5, 27, 25, 6, 9, 17, 23, 18, 0, 19, 28, 14, 7, 21, 15, 12, 4, 16, 3, 10, 29]",2131.0,0.14262606700000902,Genético-p10-g10-c20.0%-m10.0%
reC23,0,30,10,"[[54, 2, 2, 75, 39, 97, 70, 5, 40, 16], [51, 69, 31, 100, 25, 58, 30, 3, 18, 64], [44, 18, 6, 6, 9, 96, 52, 31, 52, 14], [66, 95, 42, 1, 21, 65, 24, 78, 20, 81], [18, 53, 28, 61, 84, 52, 33, 31, 14, 35], [100, 39, 72, 19, 44, 66, 8, 59, 80, 94], [51, 86, 28, 56, 13, 22, 51, 99, 51, 8], [88, 95, 45, 83, 5, 30, 81, 49, 86, 46], [41, 24, 93, 33, 70, 84, 66, 50, 11, 87], [92, 78, 9, 47, 39, 48, 65, 79, 49, 4], [12, 95, 32, 60, 53, 44, 63, 28, 66, 53], [98, 31, 39, 91, 7, 38, 10, 2, 4, 60], [11, 53, 83, 29, 85, 31, 55, 100, 16, 10], [16, 22, 32, 21, 96, 42, 88, 100, 12, 31], [13, 80, 5, 57, 15, 99, 76, 56, 85, 87], [83, 41, 11, 64, 16, 26, 98, 77, 59, 60], [17, 78, 85, 87, 16, 29, 88, 16, 20, 41], [59, 8, 26, 77, 4, 84, 64, 62, 56, 14], [44, 79, 34, 85, 86, 25, 76, 21, 94, 49], [31, 63, 50, 39, 20, 32, 34, 9, 39, 85], [44, 37, 88, 43, 50, 17, 52, 38, 8, 17], [9, 74, 81, 55, 50, 13, 82, 100, 69, 89], [90, 31, 8, 79, 55, 59, 52, 59, 83, 75], [29, 33, 42, 54, 5, 93, 5, 38, 32, 70], [81, 66, 79, 36, 75, 32, 36, 2, 68, 77], [53, 58, 82, 91, 21, 65, 28, 53, 39, 95], [40, 72, 13, 79, 9, 39, 90, 9, 37, 3], [66, 90, 75, 45, 59, 46, 98, 99, 26, 55], [16, 3, 46, 2, 79, 11, 26, 47, 88, 58], [78, 97, 19, 22, 5, 79, 90, 57, 54, 68]]","[21, 28, 14, 13, 1, 17, 23, 15, 10, 8, 20, 3, 24, 22, 27, 11, 18, 25, 29, 16, 5, 9, 7, 19, 6, 2, 4, 12, 26, 0]",2155.0,0.14313763399999857,Genético-p10-g10-c20.0%-m10.0%
reC23,1,30,10,"[[54, 2, 2, 75, 39, 97, 70, 5, 40, 16], [51, 69, 31, 100, 25, 58, 30, 3, 18, 64], [44, 18, 6, 6, 9, 96, 52, 31, 52, 14], [66, 95, 42, 1, 21, 65, 24, 78, 20, 81], [18, 53, 28, 61, 84, 52, 33, 31, 14, 35], [100, 39, 72, 19, 44, 66, 8, 59, 80, 94], [51, 86, 28, 56, 13, 22, 51, 99, 51, 8], [88, 95, 45, 83, 5, 30, 81, 49, 86, 46], [41, 24, 93, 33, 70, 84, 66, 50, 11, 87], [92, 78, 9, 47, 39, 48, 65, 79, 49, 4], [12, 95, 32, 60, 53, 44, 63, 28, 66, 53], [98, 31, 39, 91, 7, 38, 10, 2, 4, 60], [11, 53, 83, 29, 85, 31, 55, 100, 16, 10], [16, 22, 32, 21, 96, 42, 88, 100, 12, 31], [13, 80, 5, 57, 15, 99, 76, 56, 85, 87], [83, 41, 11, 64, 16, 26, 98, 77, 59, 60], [17, 78, 85, 87, 16, 29, 88, 16, 20, 41], [59, 8, 26, 77, 4, 84, 64, 62, 56, 14], [44, 79, 34, 85, 86, 25, 76, 21, 94, 49], [31, 63, 50, 39, 20, 32, 34, 9, 39, 85], [44, 37, 88, 43, 50, 17, 52, 38, 8, 17], [9, 74, 81, 55, 50, 13, 82, 100, 69, 89], [90, 31, 8, 79, 55, 59, 52, 59, 83, 75], [29, 33, 42, 54, 5, 93, 5, 38, 32, 70], [81, 66, 79, 36, 75, 32, 36, 2, 68, 77], [53, 58, 82, 91, 21, 65, 28, 53, 39, 95], [40, 72, 13, 79, 9, 39, 90, 9, 37, 3], [66, 90, 75, 45, 59, 46, 98, 99, 26, 55], [16, 3, 46, 2, 79, 11, 26, 47, 88, 58], [78, 97, 19, 22, 5, 79, 90, 57, 54, 68]]","[21, 28, 14, 13, 1, 17, 18, 23, 15, 10, 8, 20, 3, 24, 22, 27, 11, 25, 29, 16, 5, 9, 7, 19, 6, 2, 4, 12, 26, 0]",2147.0,0.1434226590000094,Genético-p10-g10-c20.0%-m10.0%
reC23,2,30,10,"[[54, 2, 2, 75, 39, 97, 70, 5, 40, 16], [51, 69, 31, 100, 25, 58, 30, 3, 18, 64], [44, 18, 6, 6, 9, 96, 52, 31, 52, 14], [66, 95, 42, 1, 21, 65, 24, 78, 20, 81], [18, 53, 28, 61, 84, 52, 33, 31, 14, 35], [100, 39, 72, 19, 44, 66, 8, 59, 80, 94], [51, 86, 28, 56, 13, 22, 51, 99, 51, 8], [88, 95, 45, 83, 5, 30, 81, 49, 86, 46], [41, 24, 93, 33, 70, 84, 66, 50, 11, 87], [92, 78, 9, 47, 39, 48, 65, 79, 49, 4], [12, 95, 32, 60, 53, 44, 63, 28, 66, 53], [98, 31, 39, 91, 7, 38, 10, 2, 4, 60], [11, 53, 83, 29, 85, 31, 55, 100, 16, 10], [16, 22, 32, 21, 96, 42, 88, 100, 12, 31], [13, 80, 5, 57, 15, 99, 76, 56, 85, 87], [83, 41, 11, 64, 16, 26, 98, 77, 59, 60], [17, 78, 85, 87, 16, 29, 88, 16, 20, 41], [59, 8, 26, 77, 4, 84, 64, 62, 56, 14], [44, 79, 34, 85, 86, 25, 76, 21, 94, 49], [31, 63, 50, 39, 20, 32, 34, 9, 39, 85], [44, 37, 88, 43, 50, 17, 52, 38, 8, 17], [9, 74, 81, 55, 50, 13, 82, 100, 69, 89], [90, 31, 8, 79, 55, 59, 52, 59, 83, 75], [29, 33, 42, 54, 5, 93, 5, 38, 32, 70], [81, 66, 79, 36, 75, 32, 36, 2, 68, 77], [53, 58, 82, 91, 21, 65, 28, 53, 39, 95], [40, 72, 13, 79, 9, 39, 90, 9, 37, 3], [66, 90, 75, 45, 59, 46, 98, 99, 26, 55], [16, 3, 46, 2, 79, 11, 26, 47, 88, 58], [78, 97, 19, 22, 5, 79, 90, 57, 54, 68]]","[21, 28, 14, 13, 1, 17, 23, 15, 10, 8, 20, 3, 24, 22, 27, 11, 18, 25, 29, 16, 5, 9, 7, 19, 6, 2, 4, 12, 26, 0]",2155.0,0.14355255099999908,Genético-p10-g10-c20.0%-m10.0%
reC23,3,30,10,"[[54, 2, 2, 75, 39, 97, 70, 5, 40, 16], [51, 69, 31, 100, 25, 58, 30, 3, 18, 64], [44, 18, 6, 6, 9, 96, 52, 31, 52, 14], [66, 95, 42, 1, 21, 65, 24, 78, 20, 81], [18, 53, 28, 61, 84, 52, 33, 31, 14, 35], [100, 39, 72, 19, 44, 66, 8, 59, 80, 94], [51, 86, 28, 56, 13, 22, 51, 99, 51, 8], [88, 95, 45, 83, 5, 30, 81, 49, 86, 46], [41, 24, 93, 33, 70, 84, 66, 50, 11, 87], [92, 78, 9, 47, 39, 48, 65, 79, 49, 4], [12, 95, 32, 60, 53, 44, 63, 28, 66, 53], [98, 31, 39, 91, 7, 38, 10, 2, 4, 60], [11, 53, 83, 29, 85, 31, 55, 100, 16, 10], [16, 22, 32, 21, 96, 42, 88, 100, 12, 31], [13, 80, 5, 57, 15, 99, 76, 56, 85, 87], [83, 41, 11, 64, 16, 26, 98, 77, 59, 60], [17, 78, 85, 87, 16, 29, 88, 16, 20, 41], [59, 8, 26, 77, 4, 84, 64, 62, 56, 14], [44, 79, 34, 85, 86, 25, 76, 21, 94, 49], [31, 63, 50, 39, 20, 32, 34, 9, 39, 85], [44, 37, 88, 43, 50, 17, 52, 38, 8, 17], [9, 74, 81, 55, 50, 13, 82, 100, 69, 89], [90, 31, 8, 79, 55, 59, 52, 59, 83, 75], [29, 33, 42, 54, 5, 93, 5, 38, 32, 70], [81, 66, 79, 36, 75, 32, 36, 2, 68, 77], [53, 58, 82, 91, 21, 65, 28, 53, 39, 95], [40, 72, 13, 79, 9, 39, 90, 9, 37, 3], [66, 90, 75, 45, 59, 46, 98, 99, 26, 55], [16, 3, 46, 2, 79, 11, 26, 47, 88, 58], [78, 97, 19, 22, 5, 79, 90, 57, 54, 68]]","[21, 28, 14, 13, 1, 17, 23, 15, 10, 8, 20, 3, 24, 22, 27, 11, 18, 25, 29, 16, 5, 9, 7, 19, 6, 2, 4, 12, 26, 0]",2155.0,0.14343628500000705,Genético-p10-g10-c20.0%-m10.0%
reC23,4,30,10,"[[54, 2, 2, 75, 39, 97, 70, 5, 40, 16], [51, 69, 31, 100, 25, 58, 30, 3, 18, 64], [44, 18, 6, 6, 9, 96, 52, 31, 52, 14], [66, 95, 42, 1, 21, 65, 24, 78, 20, 81], [18, 53, 28, 61, 84, 52, 33, 31, 14, 35], [100, 39, 72, 19, 44, 66, 8, 59, 80, 94], [51, 86, 28, 56, 13, 22, 51, 99, 51, 8], [88, 95, 45, 83, 5, 30, 81, 49, 86, 46], [41, 24, 93, 33, 70, 84, 66, 50, 11, 87], [92, 78, 9, 47, 39, 48, 65, 79, 49, 4], [12, 95, 32, 60, 53, 44, 63, 28, 66, 53], [98, 31, 39, 91, 7, 38, 10, 2, 4, 60], [11, 53, 83, 29, 85, 31, 55, 100, 16, 10], [16, 22, 32, 21, 96, 42, 88, 100, 12, 31], [13, 80, 5, 57, 15, 99, 76, 56, 85, 87], [83, 41, 11, 64, 16, 26, 98, 77, 59, 60], [17, 78, 85, 87, 16, 29, 88, 16, 20, 41], [59, 8, 26, 77, 4, 84, 64, 62, 56, 14], [44, 79, 34, 85, 86, 25, 76, 21, 94, 49], [31, 63, 50, 39, 20, 32, 34, 9, 39, 85], [44, 37, 88, 43, 50, 17, 52, 38, 8, 17], [9, 74, 81, 55, 50, 13, 82, 100, 69, 89], [90, 31, 8, 79, 55, 59, 52, 59, 83, 75], [29, 33, 42, 54, 5, 93, 5, 38, 32, 70], [81, 66, 79, 36, 75, 32, 36, 2, 68, 77], [53, 58, 82, 91, 21, 65, 28, 53, 39, 95], [40, 72, 13, 79, 9, 39, 90, 9, 37, 3], [66, 90, 75, 45, 59, 46, 98, 99, 26, 55], [16, 3, 46, 2, 79, 11, 26, 47, 88, 58], [78, 97, 19, 22, 5, 79, 90, 57, 54, 68]]","[21, 28, 14, 15, 13, 1, 17, 23, 10, 8, 20, 3, 24, 22, 27, 11, 18, 25, 29, 16, 5, 9, 7, 19, 6, 2, 4, 12, 26, 0]",2148.0,0.14382774500001005,Genético-p10-g10-c20.0%-m10.0%
reC25,0,30,15,"[[68, 91, 17, 68, 46, 86, 24, 43, 58, 86, 40, 27, 38, 82, 86], [34, 21, 4, 48, 67, 24, 63, 68, 96, 45, 91, 97, 96, 3, 46], [57, 69, 12, 2, 51, 68, 34, 8, 17, 55, 80, 61, 51, 32, 36], [22, 24, 24, 3, 76, 65, 94, 69, 73, 33, 86, 36, 48, 42, 85], [28, 6, 47, 71, 81, 93, 94, 21, 32, 23, 73, 48, 35, 67, 59], [79, 80, 27, 21, 56, 36, 24, 94, 53, 50, 55, 7, 78, 14, 53], [98, 55, 71, 80, 23, 45, 44, 22, 40, 93, 38, 4, 96, 42, 53], [69, 84, 63, 15, 27, 66, 73, 98, 64, 38, 3, 69, 46, 27, 34], [65, 21, 79, 50, 67, 68, 56, 53, 71, 29, 63, 36, 62, 77, 35], [9, 92, 84, 88, 48, 71, 71, 90, 24, 54, 77, 96, 66, 49, 29], [92, 22, 73, 4, 38, 31, 55, 49, 66, 83, 75, 82, 87, 82, 89], [27, 67, 89, 10, 35, 67, 88, 43, 51, 22, 23, 60, 54, 22, 76], [10, 65, 77, 85, 5, 25, 14, 78, 32, 23, 21, 11, 65, 60, 23], [56, 74, 66, 61, 27, 41, 100, 26, 92, 79, 100, 39, 11, 59, 97], [93, 96, 79, 50, 35, 28, 100, 84, 78, 81, 65, 69, 17, 96, 19], [2, 99, 100, 13, 15, 35, 3, 58, 39, 56, 57, 48, 82, 86, 53], [2, 72, 49, 44, 84, 48, 90, 48, 27, 45, 49, 26, 36, 20, 33], [86, 54, 79, 52, 2, 67, 69, 78, 38, 92, 13, 25, 40, 37, 80], [51, 99, 68, 2, 66, 44, 98, 83, 50, 53, 13, 57, 39, 50, 92], [38, 25, 18, 97, 35, 7, 45, 98, 81, 18, 60, 73, 86, 34, 3], [4, 29, 84, 11, 61, 47, 17, 2, 68, 85, 93, 64, 98, 34, 62], [23, 95, 66, 57, 91, 15, 90, 84, 25, 88, 65, 24, 80, 98, 76], [81, 43, 11, 95, 78, 1, 87, 11, 26, 80, 29, 100, 28, 40, 37], [54, 33, 39, 23, 44, 32, 16, 96, 29, 87, 34, 25, 80, 14, 83], [56, 58, 10, 92, 95, 95, 73, 83, 57, 83, 24, 54, 48, 81, 20], [81, 24, 37, 21, 97, 60, 25, 21, 53, 34, 57, 12, 34, 28, 87], [55, 33, 74, 43, 66, 65, 32, 96, 29, 7, 33, 78, 30, 36, 45], [2, 67, 56, 82, 49, 74, 97, 11, 75, 76, 65, 41, 76, 9, 80], [6, 88, 52, 32, 54, 20, 10, 7, 64, 14, 35, 81, 92, 22, 81], [88, 65, 62, 51, 52, 89, 23, 55, 63, 79, 63, 94, 79, 39, 50]]","[20, 3, 26, 27, 5, 8, 9, 25, 0, 21, 28, 10, 1, 17, 18, 4, 15, 29, 13, 6, 19, 14, 12, 2, 23, 11, 24, 7, 22, 16]",2644.0,0.2138873240000123,Genético-p10-g10-c20.0%-m10.0%
reC25,1,30,15,"[[68, 91, 17, 68, 46, 86, 24, 43, 58, 86, 40, 27, 38, 82, 86], [34, 21, 4, 48, 67, 24, 63, 68, 96, 45, 91, 97, 96, 3, 46], [57, 69, 12, 2, 51, 68, 34, 8, 17, 55, 80, 61, 51, 32, 36], [22, 24, 24, 3, 76, 65, 94, 69, 73, 33, 86, 36, 48, 42, 85], [28, 6, 47, 71, 81, 93, 94, 21, 32, 23, 73, 48, 35, 67, 59], [79, 80, 27, 21, 56, 36, 24, 94, 53, 50, 55, 7, 78, 14, 53], [98, 55, 71, 80, 23, 45, 44, 22, 40, 93, 38, 4, 96, 42, 53], [69, 84, 63, 15, 27, 66, 73, 98, 64, 38, 3, 69, 46, 27, 34], [65, 21, 79, 50, 67, 68, 56, 53, 71, 29, 63, 36, 62, 77, 35], [9, 92, 84, 88, 48, 71, 71, 90, 24, 54, 77, 96, 66, 49, 29], [92, 22, 73, 4, 38, 31, 55, 49, 66, 83, 75, 82, 87, 82, 89], [27, 67, 89, 10, 35, 67, 88, 43, 51, 22, 23, 60, 54, 22, 76], [10, 65, 77, 85, 5, 25, 14, 78, 32, 23, 21, 11, 65, 60, 23], [56, 74, 66, 61, 27, 41, 100, 26, 92, 79, 100, 39, 11, 59, 97], [93, 96, 79, 50, 35, 28, 100, 84, 78, 81, 65, 69, 17, 96, 19], [2, 99, 100, 13, 15, 35, 3, 58, 39, 56, 57, 48, 82, 86, 53], [2, 72, 49, 44, 84, 48, 90, 48, 27, 45, 49, 26, 36, 20, 33], [86, 54, 79, 52, 2, 67, 69, 78, 38, 92, 13, 25, 40, 37, 80], [51, 99, 68, 2, 66, 44, 98, 83, 50, 53, 13, 57, 39, 50, 92], [38, 25, 18, 97, 35, 7, 45, 98, 81, 18, 60, 73, 86, 34, 3], [4, 29, 84, 11, 61, 47, 17, 2, 68, 85, 93, 64, 98, 34, 62], [23, 95, 66, 57, 91, 15, 90, 84, 25, 88, 65, 24, 80, 98, 76], [81, 43, 11, 95, 78, 1, 87, 11, 26, 80, 29, 100, 28, 40, 37], [54, 33, 39, 23, 44, 32, 16, 96, 29, 87, 34, 25, 80, 14, 83], [56, 58, 10, 92, 95, 95, 73, 83, 57, 83, 24, 54, 48, 81, 20], [81, 24, 37, 21, 97, 60, 25, 21, 53, 34, 57, 12, 34, 28, 87], [55, 33, 74, 43, 66, 65, 32, 96, 29, 7, 33, 78, 30, 36, 45], [2, 67, 56, 82, 49, 74, 97, 11, 75, 76, 65, 41, 76, 9, 80], [6, 88, 52, 32, 54, 20, 10, 7, 64, 14, 35, 81, 92, 22, 81], [88, 65, 62, 51, 52, 89, 23, 55, 63, 79, 63, 94, 79, 39, 50]]","[20, 3, 26, 27, 5, 8, 9, 25, 0, 21, 28, 10, 1, 17, 18, 4, 15, 29, 13, 6, 19, 14, 12, 2, 23, 11, 24, 7, 22, 16]",2644.0,0.2136939010000276,Genético-p10-g10-c20.0%-m10.0%
reC25,2,30,15,"[[68, 91, 17, 68, 46, 86, 24, 43, 58, 86, 40, 27, 38, 82, 86], [34, 21, 4, 48, 67, 24, 63, 68, 96, 45, 91, 97, 96, 3, 46], [57, 69, 12, 2, 51, 68, 34, 8, 17, 55, 80, 61, 51, 32, 36], [22, 24, 24, 3, 76, 65, 94, 69, 73, 33, 86, 36, 48, 42, 85], [28, 6, 47, 71, 81, 93, 94, 21, 32, 23, 73, 48, 35, 67, 59], [79, 80, 27, 21, 56, 36, 24, 94, 53, 50, 55, 7, 78, 14, 53], [98, 55, 71, 80, 23, 45, 44, 22, 40, 93, 38, 4, 96, 42, 53], [69, 84, 63, 15, 27, 66, 73, 98, 64, 38, 3, 69, 46, 27, 34], [65, 21, 79, 50, 67, 68, 56, 53, 71, 29, 63, 36, 62, 77, 35], [9, 92, 84, 88, 48, 71, 71, 90, 24, 54, 77, 96, 66, 49, 29], [92, 22, 73, 4, 38, 31, 55, 49, 66, 83, 75, 82, 87, 82, 89], [27, 67, 89, 10, 35, 67, 88, 43, 51, 22, 23, 60, 54, 22, 76], [10, 65, 77, 85, 5, 25, 14, 78, 32, 23, 21, 11, 65, 60, 23], [56, 74, 66, 61, 27, 41, 100, 26, 92, 79, 100, 39, 11, 59, 97], [93, 96, 79, 50, 35, 28, 100, 84, 78, 81, 65, 69, 17, 96, 19], [2, 99, 100, 13, 15, 35, 3, 58, 39, 56, 57, 48, 82, 86, 53], [2, 72, 49, 44, 84, 48, 90, 48, 27, 45, 49, 26, 36, 20, 33], [86, 54, 79, 52, 2, 67, 69, 78, 38, 92, 13, 25, 40, 37, 80], [51, 99, 68, 2, 66, 44, 98, 83, 50, 53, 13, 57, 39, 50, 92], [38, 25, 18, 97, 35, 7, 45, 98, 81, 18, 60, 73, 86, 34, 3], [4, 29, 84, 11, 61, 47, 17, 2, 68, 85, 93, 64, 98, 34, 62], [23, 95, 66, 57, 91, 15, 90, 84, 25, 88, 65, 24, 80, 98, 76], [81, 43, 11, 95, 78, 1, 87, 11, 26, 80, 29, 100, 28, 40, 37], [54, 33, 39, 23, 44, 32, 16, 96, 29, 87, 34, 25, 80, 14, 83], [56, 58, 10, 92, 95, 95, 73, 83, 57, 83, 24, 54, 48, 81, 20], [81, 24, 37, 21, 97, 60, 25, 21, 53, 34, 57, 12, 34, 28, 87], [55, 33, 74, 43, 66, 65, 32, 96, 29, 7, 33, 78, 30, 36, 45], [2, 67, 56, 82, 49, 74, 97, 11, 75, 76, 65, 41, 76, 9, 80], [6, 88, 52, 32, 54, 20, 10, 7, 64, 14, 35, 81, 92, 22, 81], [88, 65, 62, 51, 52, 89, 23, 55, 63, 79, 63, 94, 79, 39, 50]]","[20, 3, 26, 27, 5, 8, 9, 25, 0, 21, 28, 10, 1, 17, 18, 4, 15, 29, 13, 6, 19, 14, 12, 2, 23, 11, 24, 7, 22, 16]",2644.0,0.21384061699998824,Genético-p10-g10-c20.0%-m10.0%
